82	2.00	2.40	2.64	2.89	3.14	3.39	3.64
83	2.10	2.33	2.59	2.84	3.10	3.36	3.61
84	2.11	2.20	2.44	2.69	2.93	3.17	3.41
85	2.25	2.09	2.29	2.50	2.71	2.91	3.12
86	2.40	2.11	2.31	2.51	2.71	2.91	3.11
87	2.20	2.17	2.38	2.59	2.80	3.01	3.22
88	1.99	2.19	2.40	2.61	2.82	3.04	3.25
89	2.07	2.23	2.45	2.68	2.90	3.13	3.35
90	2.10	2.21	2.45	2.69	2.93	3.17	3.41
91	2.07	2.11	2.33	2.55	2.77	2.99	3.21
92	2.14	2.05	2.25	2.45	2.65	2.85	3.05
93	1.97	2.07	2.28	2.49	2.69	2.90	3.11
94	1.51	2.03	2.24	2.45	2.66	2.87	3.08
95	1.25	1.92	2.13	2.34	2.54	2.75	2.96
96	1.16	1.79	2.00	2.22	2.43	2.64	2.86
97	0.91	1.55	1.74	1.94	2.14	2.33	2.53
98	0.72	1.25	1.40	1.55	1.70	1.85	2.00
99	0.54	1.04	1.17	1.29	1.42	1.54	1.67
